"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","Создание заказа с ингредиентами (без проверки авторизации)","tests","2026-03-17","passed","2026-03-17","TestCreateOrder","Заказы","",""
"","142","Логин с неверным паролем","tests","2026-03-17","passed","2026-03-17","TestLoginUser","Логин пользователя","",""
"","3138","Создание заказа с авторизацией","tests","2026-03-17","passed","2026-03-17","TestCreateOrder","Заказы","",""
"","79","Логин с неверным логином","tests","2026-03-17","passed","2026-03-17","TestLoginUser","Логин пользователя","",""
"","147","Успешный логин пользователя","tests","2026-03-17","passed","2026-03-17","TestLoginUser","Логин пользователя","",""
"","73","Создание заказа без авторизации","tests","2026-03-17","passed","2026-03-17","TestCreateOrder","Заказы","",""
"","67","Создание пользователя без поля password","tests","2026-03-17","passed","2026-03-17","TestCreateUser","test_create_user","",""
"","65","Создание пользователя без поля email","tests","2026-03-17","passed","2026-03-17","TestCreateUser","test_create_user","",""
"","76","Создание заказа без ингредиентов","tests","2026-03-17","passed","2026-03-17","TestCreateOrder","Заказы","",""
"","74","Логин без поля password","tests","2026-03-17","passed","2026-03-17","TestLoginUser","Логин пользователя","",""
"","153","Логин без поля email","tests","2026-03-17","passed","2026-03-17","TestLoginUser","Логин пользователя","",""
"","65","Создание пользователя без поля name","tests","2026-03-17","passed","2026-03-17","TestCreateUser","test_create_user","",""
"","76","Создание заказа с неверным хешем ингредиента","tests","2026-03-17","passed","2026-03-17","TestCreateOrder","Заказы","",""
"","81","Создание уже существующего пользователя","tests","2026-03-17","passed","2026-03-17","TestCreateUser","test_create_user","",""
"","140","Создание уникального пользователя","tests","2026-03-17","passed","2026-03-17","TestCreateUser","test_create_user","",""
